k,mae_nmf,rmse_nmf,mae_svd,rmse_svd
5,1.118716209805915,1.3002678298655097,0.6951898620260729,0.9644745620127005
10,0.8853794821881033,1.124854834922406,0.6949616168380337,0.9649233320602402
20,0.7056086021957648,1.0301274368441689,0.6945895019323364,0.965178344962775
30,0.6512275170903585,1.021056937747779,0.6945458424356461,0.9660794881517459
40,0.6329782834172206,1.0304737350138347,0.6956762124543893,0.9675997911333173
50,0.6261746095247895,1.0422478299558209,0.6962558973036398,0.9685292312756172
60,0.6258372469106199,1.0552375516285692,0.696991212117201,0.9693095392199452
70,0.6264501666617492,1.0653707249838882,0.6974149421201815,0.9698996334232413
80,0.6281625835097675,1.0753455171985042,0.6982199906443286,0.9709470789856781
90,0.630096931056961,1.0839242632880353,0.6986995016064299,0.9714790461039194
100,0.6319810362249885,1.0910777198910864,0.7000660511378554,0.9729627955244818
